Topic,Variation_Type,Question,Bot_Answer,Response_Time_ms
Coach Age Requirement (Rule 1102),Standard,How old do I have to be to coach?,All IHSA coaches must be at least 21 years old. (Rule 1102.A),2697.74
Coach Age Requirement (Rule 1102),Casual,Can I be a coach if I'm 19?,All IHSA coaches must be at least 21 years old. (Rule 1102.A),1477.4
Coach Age Requirement (Rule 1102),Formal,What are the age eligibility requirements for an IHSA coach under Rule 1102?,All IHSA coaches must be at least 21 years old. (Rule 1102.A),2877.17
Coach Age Requirement (Rule 1102),Scenario,"My assistant is 20 years old, can they be the designated coach for the show?",All IHSA coaches must be at least 21 years old. (Rule 1102.A),1427.92
Online Prize Lists (Rule 5401),Standard,When must online prizelists be posted?,"Online prize lists must be received via email not less than two (2) weeks prior to the closing date of entries and must be sent to all colleges in the region. (Section 5401, B.)",3550.45
Online Prize Lists (Rule 5401),Casual,Deadline for emailing prize lists?,"Online prize lists must be received via email not less than two (2) weeks prior to the closing date of entries and must be sent to all colleges in the region. (Section 5401, B.)",1915.94
Online Prize Lists (Rule 5401),Formal,"According to Section 5401, what isn the procedural timeframe for distributing online prize lists?","Online prize lists must be received via email not less than two (2) weeks prior to the closing date of entries and must be sent to all colleges in the region. (Section 5401, B.)",3847.6
Online Prize Lists (Rule 5401),Negative,Can I send the prize list just 1 week before the closing date?,"Online prize lists must be received via email not less than two (2) weeks prior to the closing date of entries and must be sent to all colleges in the region. (Section 5401, B.)",1666.5
Young Hunter Heights (HU111),Standard,How high do Young Hunters jump?,"Young Hunters jump at the following heights:
Young Hunter 5 and under: 2'9""
Young Hunter 6 and under: 3'0""
Young Hunter 7 and under: 3'3""
This information can be found in subchapter HU111.",1584.15
Young Hunter Heights (HU111),Specific,What is the jump height for a 6-year-old Young Hunter?,"Young Hunter 6 and under: 3'0""",1316.43
Young Hunter Heights (HU111),Formal,Please list the fence height specifications for the Young Hunter division.,I cannot find a specific rule addressing this in the current rulebook context.,1537.37
Young Hunter Heights (HU111),Comparison,Do 5-year-old and 7-year-old Young Hunters jump the same height?,"Young Hunters jump at the following heights:
Young Hunter 5 and under: 2'9""
Young Hunter 6 and under: 3'0""
Young Hunter 7 and under: 3'3""
This information can be found in subchapter HU111.",2064.34
Alternates Requirement (Rule 4501),Standard,How many alternates are required?,There must be at least one designated alternate. Rule 4501.,1438.8
Alternates Requirement (Rule 4501),Casual,Do we need an alternate rider?,There must be at least one designated alternate. Rule 4501.,1456.01
Alternates Requirement (Rule 4501),Formal,What does Rule 4501 state regarding the designation of alternates?,There must be at least one designated alternate. Rule 4501.,1570.06
Alternates Requirement (Rule 4501),Scenario,"If we have a full team, is an alternate still mandatory?",There must be at least one designated alternate. Rule 4501.,2785.52
Showmanship Gloves,Standard,Do I need gloves for Showmanship?,Gloves are optional.,3003.88
Showmanship Gloves,Casual,Are gloves required in showmanship classes?,Gloves are optional.,5264.02
Showmanship Gloves,Formal,Is the wearing of gloves mandatory or optional in COOL Showmanship?,Gloves are optional.,4636.44
Showmanship Gloves,Scenario,"I forgot my gloves, can I still compete in Showmanship?","Exhibitors must wear: •Long-sleeved polo or dress shirts with collars in solid white or other conservative colors. •Dress pants that are loose enough to allow exhibitor to run freely. (Jeans are prohibited.) • Paddock or jodhpur boots.•Vest, tie, gloves, and plain belt (all are optional; Western-style belts are prohibited).",6184.61
Liberty Catch Time,Standard,How long do I have to catch my horse in Liberty?,I cannot find a specific rule addressing this in the current rulebook context.,5580.89
Liberty Catch Time,Casual,What's the time limit for catching in Liberty?,I cannot find a specific rule addressing this in the current rulebook context.,6246.98
Liberty Catch Time,Formal,What is the specific catch time duration allocated in the Liberty class?,I cannot find a specific rule addressing this in the current rulebook context.,5448.34
Liberty Catch Time,Scenario,"If it takes me 3 minutes to halt my horse in Liberty, am I disqualified?",I cannot find a specific rule addressing this in the current rulebook context.,6222.51
Walk Fences Height (HU 109),Standard,How high are walk fences?,The height of the fences must not be higher than 2 feet 6 inches.,5505.92
Walk Fences Height (HU 109),Casual,Max height for walk rails?,I cannot find a specific rule addressing this in the current rulebook context.,4554.3
Walk Fences Height (HU 109),Formal,What are the dimensional restrictions for walk fences in schooling areas?,"Single obstacles should be located at 12- to 18-foot intervals. The height of obstacles must not exceed 3 feet. Fences must be at least 10 feet wide, though wider fences are desirable, and wings of at least 30 inches are recommended. Ground poles placed on the take-off side of jumps are required. When jumps are approached from both sides, ground poles are required on both sides. Unused jump cups and pins must be removed from jump standards.",6745.36
Walk Fences Height (HU 109),Comparison,Are walk rails allowed to be higher than 12 inches?,Prohibited obstacles include the following: Jumps higher than 12 inches.,4823.67
Large Pony Hunter Height,Standard,How high do large pony hunters jump?,"For ponies over 52 inches but not exceeding 56 inches, fences should not exceed 2½ feet and in-and-outs should not exceed 22 feet.",6148.22
Large Pony Hunter Height,Casual,Jump height for large ponies?,"For ponies over 52 inches but not exceeding 56 inches, fences should not exceed 2½ feet and in-and-outs should not exceed 22 feet.",6536.78
Large Pony Hunter Height,Formal,Specify the fence heights for the Regular Pony Hunter Division for large ponies.,I cannot find a specific rule addressing this in the current rulebook context.,4520.95
Large Pony Hunter Height,Specific,"Does a large pony jump 3'0"" or 2'9""?",I cannot find a specific rule addressing this in the current rulebook context.,1709.58
In Hand Obstacle Disqualification,Standard,How can you be disqualified from in hand obstacle?,"Disqualifications in an in-hand obstacle class include: evidence of lameness; fall to the ground by horse (a horse is deemed to have fallen when its shoulder or hip or underline touches the ground); improper equipment; evidence of abuse, including but not limited to broken skin, rawness, or bleeding on the horse’s chin, muzzle, or nose; exhibitor disrespect to judge; blatant striking of horse with longe whip to cause forward or lateral movement; horse stepping over or becoming entangled in longe line; failure to show at all three gaits in both directions; horse becoming loose in the arena. All rules apply when judge is present in arena until all judging is complete.",10988.44
In Hand Obstacle Disqualification,Casual,What gets you kicked out of in-hand obstacle?,I cannot find a specific rule addressing this in the current rulebook context.,4322.19
In Hand Obstacle Disqualification,Formal,List the infractions that result in disqualification from the In Hand Obstacle class.,"The following will result in a disqualification from the class: • Failure to complete the pattern as written. • Equipment failure that delays completion of the pattern. • Performing maneuvers other than in the specified order. • Including maneuvers not specified, including but not limited to backing more than two strides (two strides meaning four steps with the front feet). • A turn of more than 90 degrees where one is not specified. • Running away or failure to guide where it becomes impossible to discern whether the entry is on pattern. • Jogging more than one-half circle or one-half the arena while starting a circle, circling, or exiting a rollback. • Overspins of more than ¼-turn. • Use of illegal equipment. • Willful abuse of the horse.",7966.83
